Acampo,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Joaquin
Acton,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Adelaida,"""",8.250%,"""",7.250%,"""",7.500%,"""",San Luis Obispo
Adelanto,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Adin,"""",8.250%,"""",7.250%,"""",7.500%,"""",Modoc
Agoura ,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Agoura Hills,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Agua Caliente,"""",9.000%,"""",8.000%,"""",8.250%,"""",Sonoma
Agua Caliente Springs,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Diego
Agua Dulce,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Aguanga,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Ahwahnee,"""",8.750%,"""",7.750%,"""",8.000%,"""",Madera
Al Tahoe,"""",8.250%,"""",7.250%,"""",7.500%,"""",El Dorado
Alameda,"""",9.750%,"""",8.750%,"""",9.000%,"""",Alameda
Alamo,"""",9.250%,"""",8.250%,"""",8.500%,"""",Contra Costa
Albany,"""",9.750%,"""",8.750%,"""",9.000%,"""",Alameda
Alberhill,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Albion,"""",8.250%,"""",7.250%,"""",7.500%,"""",Mendocino
Alderpoint,"""",8.250%,"""",7.250%,"""",7.500%,"""",Humboldt
Alhambra,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Aliso Viejo,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Alleghany,"""",8.250%,"""",7.250%,"""",7.500%,"""",Sierra
Almaden Valley,"""",9.250%,"""",8.250%,"""",8.500%,"""",Santa Clara
Almanor,"""",8.250%,"""",7.250%,"""",7.500%,"""",Plumas
Almondale,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Alondra,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Alpaugh,"""",8.750%,"""",7.750%,"""",8.000%,"""",Tulare
Alpine,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Diego
Alta,"""",8.250%,"""",7.250%,"""",7.500%,"""",Placer
Alta Loma,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Altadena,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Altaville,"""",8.250%,"""",7.250%,"""",7.500%,"""",Calaveras
Alton,"""",8.250%,"""",7.250%,"""",7.500%,"""",Humboldt
Alturas,"""",8.250%,"""",7.250%,"""",7.500%,"""",Modoc
Alviso,"""",9.250%,"""",8.250%,"""",8.500%,"""",Santa Clara
Amador City,"""",8.750%,"""",7.750%,"""",8.000%,"""",Amador
Amargosa,"""",8.750%,"""",7.750%,"""",8.000%,"""",Inyo
Amboy,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
American Canyon,"""",8.750%,"""",7.750%,"""",8.000%,"""",Napa
Anaheim,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Anderson,"""",8.250%,"""",7.250%,"""",7.500%,"""",Shasta
Angels Camp,"""",8.250%,"""",7.250%,"""",7.500%,"""",Calaveras
Angelus Oaks,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Angwin,"""",8.750%,"""",7.750%,"""",8.000%,"""",Napa
Annapolis,"""",9.000%,"""",8.000%,"""",8.250%,"""",Sonoma
Antelope,"""",8.750%,"""",7.750%,"""",8.000%,"""",Sacramento
Antelope Acres,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Antioch,"""",9.250%,"""",8.250%,"""",8.500%,"""",Contra Costa
Anza,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Apple Valley,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Applegate,"""",8.250%,"""",7.250%,"""",7.500%,"""",Placer
Aptos,"""",9.000%,"""",8.000%,"""",8.250%,"""",Santa Cruz
Arbuckle,"""",8.250%,"""",7.250%,"""",7.500%,"""",Colusa
Arcadia,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Arcata,"""",9.000%,"""",8.000%,"""",8.250%,"""",Humboldt(ARGF)
Argus,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Arleta,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Arlington,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Armona,"""",8.250%,"""",7.250%,"""",7.500%,"""",Kings
Army Terminal,"""",9.750%,"""",8.750%,"""",9.000%,"""",Alameda
Arnold,"""",8.250%,"""",7.250%,"""",7.500%,"""",Calaveras
Aromas,"""",8.250%,"""",7.250%,"""",7.500%,"""",Monterey
Arrowbear Lake,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Arrowhead Highlands,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Arroyo Grande,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Luis Obispo(ARGD)
Artesia,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Artois,"""",8.250%,"""",7.250%,"""",7.500%,"""",Glenn
Arvin,"""",9.250%,"""",8.250%,"""",8.500%,"""",Kern(ARVN)
Ashland,"""",9.750%,"""",8.750%,"""",9.000%,"""",Alameda
Asti,"""",9.000%,"""",8.000%,"""",8.250%,"""",Sonoma
Atascadero,"""",8.250%,"""",7.250%,"""",7.500%,"""",San Luis Obispo
Athens,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Atherton,"""",9.250%,"""",8.250%,"""",8.500%,"""",San Mateo
Atwater,"""",8.250%,"""",7.250%,"""",7.500%,"""",Merced
Atwood,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Auberry,"""",8.975%,"""",7.975%,"""",8.225%,"""",Fresno
Auburn,"""",8.250%,"""",7.250%,"""",7.500%,"""",Placer
Avalon,"""",10.250%,"""",9.250%,"""",9.500%,"""",Los Angeles(AMHC)
Avenal,"""",8.250%,"""",7.250%,"""",7.500%,"""",Kings
Avery,"""",8.250%,"""",7.250%,"""",7.500%,"""",Calaveras
Avila Beach,"""",8.250%,"""",7.250%,"""",7.500%,"""",San Luis Obispo
Azusa,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Badger,"""",8.750%,"""",7.750%,"""",8.000%,"""",Tulare
Bailey,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Baker,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Bakersfield,"""",8.250%,"""",7.250%,"""",7.500%,"""",Kern
Balboa,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Balboa Island,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Balboa Park ,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Diego
Baldwin Park,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Ballard,"""",8.750%,"""",7.750%,"""",8.000%,"""",Santa Barbara
Ballico,"""",8.250%,"""",7.250%,"""",7.500%,"""",Merced
Ballroad,"""",8.750%,"""",7.750%,"""",8.000%,"""",Orange
Bangor,"""",8.250%,"""",7.250%,"""",7.500%,"""",Butte
Banning,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Banta,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Joaquin
Bard,"""",8.750%,"""",7.750%,"""",8.000%,"""",Imperial
Barrington,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Barstow,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Bartlett,"""",8.750%,"""",7.750%,"""",8.000%,"""",Inyo
Barton,"""",8.975%,"""",7.975%,"""",8.225%,"""",Fresno
Base Line,"""",8.750%,"""",7.750%,"""",8.000%,"""",San Bernardino
Bass Lake,"""",8.750%,"""",7.750%,"""",8.000%,"""",Madera
Bassett,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Baxter,"""",8.250%,"""",7.250%,"""",7.500%,"""",Placer
Bay Point,"""",9.250%,"""",8.250%,"""",8.500%,"""",Contra Costa
Bayside,"""",8.250%,"""",7.250%,"""",7.500%,"""",Humboldt
Baywood Park,"""",8.250%,"""",7.250%,"""",7.500%,"""",San Luis Obispo
Beale A.F.B.,"""",8.250%,"""",7.250%,"""",7.500%,"""",Yuba
Bear River Lake,"""",8.750%,"""",7.750%,"""",8.000%,"""",Amador
Bear Valley,"""",8.250%,"""",7.250%,"""",7.500%,"""",Alpine
Bear Valley,"""",8.750%,"""",7.750%,"""",8.000%,"""",Mariposa
Beaumont,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Beckwourth,"""",8.250%,"""",7.250%,"""",7.500%,"""",Plumas
Bel Air Estates,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Belden,"""",8.250%,"""",7.250%,"""",7.500%,"""",Plumas
Bell,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Bell Gardens,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Bella Vista,"""",8.250%,"""",7.250%,"""",7.500%,"""",Shasta
Bellflower,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Belmont,"""",9.250%,"""",8.250%,"""",8.500%,"""",San Mateo
Belvedere,"""",9.000%,"""",8.000%,"""",8.250%,"""",Marin
Ben Lomond,"""",9.000%,"""",8.000%,"""",8.250%,"""",Santa Cruz
Benicia,"""",8.375%,"""",7.375%,"""",7.625%,"""",Solano
Benton,"""",8.250%,"""",7.250%,"""",7.500%,"""",Mono
Berkeley,"""",9.750%,"""",8.750%,"""",9.000%,"""",Alameda
Bermuda Dunes,"""",8.750%,"""",7.750%,"""",8.000%,"""",Riverside
Berry Creek,"""",8.250%,"""",7.250%,"""",7.500%,"""",Butte
Bethel Island,"""",9.250%,"""",8.250%,"""",8.500%,"""",Contra Costa
Betteravia,"""",8.750%,"""",7.750%,"""",8.000%,"""",Santa Barbara
Beverly Hills,"""",9.750%,"""",8.750%,"""",9.000%,"""",Los Angeles
Bieber,"""",8.250%,"""",7.250%,"""",7.500%,"""",Lassen
